"","date","area","cumulative_cases"
"1","2020-02-01","Orange",1
"2","2020-02-02","Orange",1
"3","2020-02-03","Orange",1
"4","2020-02-04","Orange",3
"5","2020-02-05","Orange",3
"6","2020-02-06","Orange",4
"7","2020-02-07","Orange",34
"8","2020-02-08","Orange",36
"9","2020-02-09","Orange",36
"10","2020-02-10","Orange",36
"11","2020-02-11","Orange",36
"12","2020-02-12","Orange",37
"13","2020-02-13","Orange",37
"14","2020-02-14","Orange",38
"15","2020-02-15","Orange",38
"16","2020-02-16","Orange",39
"17","2020-02-17","Orange",40
"18","2020-02-18","Orange",40
"19","2020-02-19","Orange",41
"20","2020-02-20","Orange",42
"21","2020-02-21","Orange",42
"22","2020-02-22","Orange",44
"23","2020-02-23","Orange",45
"24","2020-02-24","Orange",45
"25","2020-02-25","Orange",47
"26","2020-02-26","Orange",48
"27","2020-02-27","Orange",49
"28","2020-02-28","Orange",55
"29","2020-02-29","Orange",57
"30","2020-03-01","Orange",62
"31","2020-03-02","Orange",65
"32","2020-03-03","Orange",70
"33","2020-03-04","Orange",78
"34","2020-03-05","Orange",81
"35","2020-03-06","Orange",96
"36","2020-03-07","Orange",122
"37","2020-03-08","Orange",130
"38","2020-03-09","Orange",155
"39","2020-03-10","Orange",183
"40","2020-03-11","Orange",203
"41","2020-03-12","Orange",232
"42","2020-03-13","Orange",269
"43","2020-03-14","Orange",309
"44","2020-03-15","Orange",348
"45","2020-03-16","Orange",416
"46","2020-03-17","Orange",499
"47","2020-03-18","Orange",577
"48","2020-03-19","Orange",635
"49","2020-03-20","Orange",716
"50","2020-03-21","Orange",763
"51","2020-03-22","Orange",812
"52","2020-03-23","Orange",885
"53","2020-03-24","Orange",940
"54","2020-03-25","Orange",1002
"55","2020-03-26","Orange",1060
"56","2020-03-27","Orange",1122
"57","2020-03-28","Orange",1172
"58","2020-03-29","Orange",1208
"59","2020-03-30","Orange",1281
"60","2020-03-31","Orange",1346
"61","2020-04-01","Orange",1416
"62","2020-04-02","Orange",1468
"63","2020-04-03","Orange",1520
"64","2020-04-04","Orange",1559
"65","2020-04-05","Orange",1601
"66","2020-04-06","Orange",1657
"67","2020-04-07","Orange",1701
"68","2020-04-08","Orange",1748
"69","2020-04-09","Orange",1811
"70","2020-04-10","Orange",1885
"71","2020-04-11","Orange",1932
"72","2020-04-12","Orange",1994
"73","2020-04-13","Orange",2054
"74","2020-04-14","Orange",2126
"75","2020-04-15","Orange",2226
"76","2020-04-16","Orange",2329
"77","2020-04-17","Orange",2394
"78","2020-04-18","Orange",2445
"79","2020-04-19","Orange",2510
"80","2020-04-20","Orange",2607
"81","2020-04-21","Orange",2691
"82","2020-04-22","Orange",2814
"83","2020-04-23","Orange",2908
"84","2020-04-24","Orange",3087
"85","2020-04-25","Orange",3194
"86","2020-04-26","Orange",3302
"87","2020-04-27","Orange",3467
"88","2020-04-28","Orange",3636
"89","2020-04-29","Orange",3799
"90","2020-04-30","Orange",3933
"91","2020-05-01","Orange",4155
"92","2020-05-02","Orange",4232
"93","2020-05-03","Orange",4346
"94","2020-05-04","Orange",4520
"95","2020-05-05","Orange",4658
"96","2020-05-06","Orange",4782
"97","2020-05-07","Orange",4966
"98","2020-05-08","Orange",5151
"99","2020-05-09","Orange",5299
"100","2020-05-10","Orange",5383
"101","2020-05-11","Orange",5526
"102","2020-05-12","Orange",5741
"103","2020-05-13","Orange",5923
"104","2020-05-14","Orange",6169
"105","2020-05-15","Orange",6343
"106","2020-05-16","Orange",6515
"107","2020-05-17","Orange",6591
"108","2020-05-18","Orange",6771
"109","2020-05-19","Orange",6961
"110","2020-05-20","Orange",7155
"111","2020-05-21","Orange",7363
"112","2020-05-22","Orange",7566
"113","2020-05-23","Orange",7763
"114","2020-05-24","Orange",7922
"115","2020-05-25","Orange",8076
"116","2020-05-26","Orange",8299
"117","2020-05-27","Orange",8568
"118","2020-05-28","Orange",8723
"119","2020-05-29","Orange",8918
"120","2020-05-30","Orange",9105
"121","2020-05-31","Orange",9262
"122","2020-06-01","Orange",9474
"123","2020-06-02","Orange",9671
"124","2020-06-03","Orange",9874
"125","2020-06-04","Orange",10099
"126","2020-06-05","Orange",10353
"127","2020-06-06","Orange",10549
"128","2020-06-07","Orange",10709
"129","2020-06-08","Orange",10968
"130","2020-06-09","Orange",11220
"131","2020-06-10","Orange",11464
"132","2020-06-11","Orange",11741
"133","2020-06-12","Orange",12050
"134","2020-06-13","Orange",12356
"135","2020-06-14","Orange",12601
"136","2020-06-15","Orange",13032
"137","2020-06-16","Orange",13600
"138","2020-06-17","Orange",14185
"139","2020-06-18","Orange",14796
"140","2020-06-19","Orange",15453
"141","2020-06-20","Orange",15987
"142","2020-06-21","Orange",16338
"143","2020-06-22","Orange",17176
"144","2020-06-23","Orange",18112
"145","2020-06-24","Orange",19089
"146","2020-06-25","Orange",20087
"147","2020-06-26","Orange",21014
"148","2020-06-27","Orange",21693
"149","2020-06-28","Orange",22204
"150","2020-06-29","Orange",23186
"151","2020-06-30","Orange",24185
"152","2020-07-01","Orange",25123
"153","2020-07-02","Orange",26016
"154","2020-07-03","Orange",26784
"155","2020-07-04","Orange",27175
"156","2020-07-05","Orange",27611
"157","2020-07-06","Orange",28559
"158","2020-07-07","Orange",29624
"159","2020-07-08","Orange",30644
"160","2020-07-09","Orange",31599
"161","2020-07-10","Orange",32572
"162","2020-07-11","Orange",33158
"163","2020-07-12","Orange",33535
"164","2020-07-13","Orange",34415
"165","2020-07-14","Orange",35281
"166","2020-07-15","Orange",36163
"167","2020-07-16","Orange",36962
"168","2020-07-17","Orange",37665
"169","2020-07-18","Orange",38128
"170","2020-07-19","Orange",38447
"171","2020-07-20","Orange",39011
"172","2020-07-21","Orange",39621
"173","2020-07-22","Orange",40117
"174","2020-07-23","Orange",40616
"175","2020-07-24","Orange",41112
"176","2020-07-25","Orange",41399
"177","2020-07-26","Orange",41618
"178","2020-07-27","Orange",42143
"179","2020-07-28","Orange",42583
"180","2020-07-29","Orange",43041
"181","2020-07-30","Orange",43476
"182","2020-07-31","Orange",43891
"183","2020-08-01","Orange",44191
"184","2020-08-02","Orange",44417
"185","2020-08-03","Orange",44796
"186","2020-08-04","Orange",45190
"187","2020-08-05","Orange",45566
"188","2020-08-06","Orange",45875
"189","2020-08-07","Orange",46167
"190","2020-08-08","Orange",46379
"191","2020-08-09","Orange",46508
"192","2020-08-10","Orange",46807
"193","2020-08-11","Orange",47077
"194","2020-08-12","Orange",47298
"195","2020-08-13","Orange",47549
"196","2020-08-14","Orange",47788
"197","2020-08-15","Orange",47938
"198","2020-08-16","Orange",48051
"199","2020-08-17","Orange",48302
"200","2020-08-18","Orange",48512
"201","2020-08-19","Orange",48737
"202","2020-08-20","Orange",48942
"203","2020-08-21","Orange",49169
"204","2020-08-22","Orange",49310
"205","2020-08-23","Orange",49451
"206","2020-08-24","Orange",49689
"207","2020-08-25","Orange",49882
"208","2020-08-26","Orange",50076
"209","2020-08-27","Orange",50260
"210","2020-08-28","Orange",50417
"211","2020-08-29","Orange",50517
"212","2020-08-30","Orange",50628
"213","2020-08-31","Orange",50825
"214","2020-09-01","Orange",51025
"215","2020-09-02","Orange",51189
"216","2020-09-03","Orange",51370
"217","2020-09-04","Orange",51557
"218","2020-09-05","Orange",51681
"219","2020-09-06","Orange",51782
"220","2020-09-07","Orange",51895
"221","2020-09-08","Orange",52069
"222","2020-09-09","Orange",52211
"223","2020-09-10","Orange",52389
"224","2020-09-11","Orange",52552
"225","2020-09-12","Orange",52682
"226","2020-09-13","Orange",52798
"227","2020-09-14","Orange",53013
"228","2020-09-15","Orange",53174
"229","2020-09-16","Orange",53356
"230","2020-09-17","Orange",53557
"231","2020-09-18","Orange",53736
"232","2020-09-19","Orange",53882
"233","2020-09-20","Orange",54010
"234","2020-09-21","Orange",54251
"235","2020-09-22","Orange",54473
"236","2020-09-23","Orange",54725
"237","2020-09-24","Orange",54953
"238","2020-09-25","Orange",55159
"239","2020-09-26","Orange",55286
"240","2020-09-27","Orange",55425
"241","2020-09-28","Orange",55700
"242","2020-09-29","Orange",55905
"243","2020-09-30","Orange",56092
"244","2020-10-01","Orange",56283
"245","2020-10-02","Orange",56451
"246","2020-10-03","Orange",56582
"247","2020-10-04","Orange",56699
"248","2020-10-05","Orange",56935
"249","2020-10-06","Orange",57151
"250","2020-10-07","Orange",57367
"251","2020-10-08","Orange",57583
"252","2020-10-09","Orange",57775
"253","2020-10-10","Orange",57947
"254","2020-10-11","Orange",58068
"255","2020-10-12","Orange",58298
"256","2020-10-13","Orange",58527
"257","2020-10-14","Orange",58740
"258","2020-10-15","Orange",58952
"259","2020-10-16","Orange",59168
"260","2020-10-17","Orange",59347
"261","2020-10-18","Orange",59489
"262","2020-10-19","Orange",59786
"263","2020-10-20","Orange",60070
"264","2020-10-21","Orange",60334
"265","2020-10-22","Orange",60546
"266","2020-10-23","Orange",60760
"267","2020-10-24","Orange",60930
"268","2020-10-25","Orange",61085
"269","2020-10-26","Orange",61374
"270","2020-10-27","Orange",61579
"271","2020-10-28","Orange",61849
"272","2020-10-29","Orange",62112
"273","2020-10-30","Orange",62380
"274","2020-10-31","Orange",62621
"275","2020-11-01","Orange",62880
"276","2020-11-02","Orange",63282
"277","2020-11-03","Orange",63688
"278","2020-11-04","Orange",64118
"279","2020-11-05","Orange",64553
"280","2020-11-06","Orange",65000
"281","2020-11-07","Orange",65303
"282","2020-11-08","Orange",65592
"283","2020-11-09","Orange",66180
"284","2020-11-10","Orange",66822
"285","2020-11-11","Orange",67376
"286","2020-11-12","Orange",68015
"287","2020-11-13","Orange",68759
"288","2020-11-14","Orange",69359
"289","2020-11-15","Orange",69982
"290","2020-11-16","Orange",71026
"291","2020-11-17","Orange",72121
"292","2020-11-18","Orange",73272
"293","2020-11-19","Orange",74368
"294","2020-11-20","Orange",75633
"295","2020-11-21","Orange",76469
"296","2020-11-22","Orange",77273
"297","2020-11-23","Orange",78690
"298","2020-11-24","Orange",80096
"299","2020-11-25","Orange",81536
"300","2020-11-26","Orange",82292
"301","2020-11-27","Orange",83683
"302","2020-11-28","Orange",84972
"303","2020-11-29","Orange",86072
"304","2020-11-30","Orange",88094
"305","2020-12-01","Orange",90208
"306","2020-12-02","Orange",92312
"307","2020-12-03","Orange",94510
"308","2020-12-04","Orange",97044
"309","2020-12-05","Orange",98973
"310","2020-12-06","Orange",100445
"311","2020-12-07","Orange",103516
"312","2020-12-08","Orange",106791
"313","2020-12-09","Orange",110015
"314","2020-12-10","Orange",113122
"315","2020-12-11","Orange",116226
"316","2020-12-12","Orange",118548
"317","2020-12-13","Orange",120446
"318","2020-12-14","Orange",124386
"319","2020-12-15","Orange",128267
"320","2020-12-16","Orange",131902
"321","2020-12-17","Orange",135384
"322","2020-12-18","Orange",138751
"323","2020-12-19","Orange",141181
"324","2020-12-20","Orange",143110
"325","2020-12-21","Orange",146605
"326","2020-12-22","Orange",150009
"327","2020-12-23","Orange",153345
"328","2020-12-24","Orange",155807
"329","2020-12-25","Orange",157302
"330","2020-12-26","Orange",159996
"331","2020-12-27","Orange",162219
"332","2020-12-28","Orange",166628
"333","2020-12-29","Orange",170728
"334","2020-12-30","Orange",174500
"335","2020-12-31","Orange",177158
"336","2021-01-01","Orange",179059
"337","2021-01-02","Orange",181853
"338","2021-01-03","Orange",184079
"339","2021-01-04","Orange",188275
"340","2021-01-05","Orange",192157
"341","2021-01-06","Orange",195783
"342","2021-01-07","Orange",199220
"343","2021-01-08","Orange",202046
"344","2021-01-09","Orange",204045
"345","2021-01-10","Orange",205564
"346","2021-01-11","Orange",208351
"347","2021-01-12","Orange",210936
"348","2021-01-13","Orange",213207
"349","2021-01-14","Orange",215282
"350","2021-01-15","Orange",217188
"351","2021-01-16","Orange",218542
"352","2021-01-17","Orange",219575
"353","2021-01-18","Orange",221566
"354","2021-01-19","Orange",223455
"355","2021-01-20","Orange",225188
"356","2021-01-21","Orange",226724
"357","2021-01-22","Orange",228100
"358","2021-01-23","Orange",229053
"359","2021-01-24","Orange",229822
"360","2021-01-25","Orange",231254
"361","2021-01-26","Orange",232463
"362","2021-01-27","Orange",233587
"363","2021-01-28","Orange",234704
"364","2021-01-29","Orange",235679
"365","2021-01-30","Orange",236353
"366","2021-01-31","Orange",236899
"367","2021-02-01","Orange",237916
"368","2021-02-02","Orange",238831
"369","2021-02-03","Orange",239634
"370","2021-02-04","Orange",240378
"371","2021-02-05","Orange",241020
"372","2021-02-06","Orange",241447
"373","2021-02-07","Orange",241811
"374","2021-02-08","Orange",242409
"375","2021-02-09","Orange",242878
"376","2021-02-10","Orange",243289
"377","2021-02-11","Orange",243708
"378","2021-02-12","Orange",244075
"379","2021-02-13","Orange",244314
"380","2021-02-14","Orange",244520
"381","2021-02-15","Orange",244829
"382","2021-02-16","Orange",245148
